adapterConnected,createdAt,roomId,temperature,humidity,mq135Voltage,air_quality_ppm,dust_density_ug_m3,light_intensity_lux,pir,occupancy,ldr,current,power,energy_kWh,deviceTimestamp,timestamp,hour,dayOfWeek,health_score,environmental_health,energy_waste,anomaly_type
0,2026-03-24 00:00:00,Room101,28.0,69.8,1.3,112.0,51.6,265.8,1,Occupied,1,0.0,0.0,0.0,3600,1774310400,0,Tuesday,50,Moderate,0,Normal
1,2026-03-24 00:00:00,Room102,26.5,70.2,1.62,133.0,45.8,294.2,1,Occupied,1,3.763082,45.15698,0.000753,7200,1774310400,0,Tuesday,52,Moderate,0,Normal
1,2026-03-24 00:00:00,Room103,28.8,70.2,1.53,138.0,68.6,396.1,1,Occupied,1,3.457462,41.48954,0.000691,10800,1774310400,0,Tuesday,45,Unhealthy,0,Normal
1,2026-03-24 00:00:00,Room104,25.3,71.5,1.47,123.0,47.0,340.3,1,Occupied,1,1.884579,22.61495,0.000377,14400,1774310400,0,Tuesday,60,Moderate,0,Normal
1,2026-03-24 00:00:00,Room105,28.1,64.6,1.55,126.0,24.9,410.6,1,Occupied,1,3.397126,40.76551,0.000679,18000,1774310400,0,Tuesday,73,Moderate,0,Normal
1,2026-03-24 00:00:00,Room106,29.9,62.9,1.68,140.0,52.1,347.0,1,Occupied,1,3.626552,43.51862,0.000725,21600,1774310400,0,Tuesday,58,Moderate,0,Normal
1,2026-03-24 01:00:00,Room101,27.5,72.9,1.35,100.0,61.3,270.4,1,Occupied,1,1.050877,12.61052,0.00021,25200,1774314000,1,Tuesday,37,Unhealthy,0,Normal
1,2026-03-24 01:00:00,Room102,29.0,69.1,1.32,118.0,46.2,418.6,1,Occupied,1,2.881473,34.57768,0.000576,28800,1774314000,1,Tuesday,73,Moderate,0,Normal
1,2026-03-24 01:00:00,Room103,26.7,67.4,1.25,93.0,56.9,43.5,1,Occupied,0,0.308911,3.70693,6.2e-05,32400,1774314000,1,Tuesday,58,Moderate,0,Normal
1,2026-03-24 01:00:00,Room104,26.3,69.9,1.2,91.0,41.9,464.4,1,Occupied,1,3.51191,42.14292,0.000702,36000,1774314000,1,Tuesday,88,Healthy,0,Normal
1,2026-03-24 01:00:00,Room105,27.7,70.4,1.25,97.0,50.9,364.6,0,Not Occupied,1,2.459371,29.51245,0.000492,39600,1774314000,1,Tuesday,60,Moderate,1,Energy Waste
1,2026-03-24 01:00:00,Room106,28.6,64.5,1.69,149.0,69.1,356.4,1,Occupied,1,2.356243,28.27492,0.000471,43200,1774314000,1,Tuesday,58,Moderate,0,Normal
1,2026-03-24 02:00:00,Room101,26.7,73.5,1.53,129.0,57.2,360.45,1,Occupied,1,2.840729,34.08875,0.000568,46800,1774317600,2,Tuesday,45,Unhealthy,0,Normal
1,2026-03-24 02:00:00,Room102,28.1,62.8,1.29,101.0,38.3,353.2,1,Occupied,1,2.194479,26.33375,0.000439,50400,1774317600,2,Tuesday,73,Moderate,0,Normal
1,2026-03-24 02:00:00,Room103,27.2,68.0,1.45,113.0,62.4,315.0,1,Occupied,1,3.65445,43.8534,0.000731,54000,1774317600,2,Tuesday,58,Moderate,0,Normal
1,2026-03-24 02:00:00,Room104,26.2,84.0,1.66,135.0,37.1,366.8,1,Occupied,1,1.383991,16.60789,0.000277,57600,1774317600,2,Tuesday,60,Moderate,0,Normal
1,2026-03-24 02:00:00,Room105,24.4,80.4,1.46,127.0,83.8,294.1,1,Occupied,1,1.649465,19.79358,0.00033,61200,1774317600,2,Tuesday,37,Unhealthy,0,Normal
1,2026-03-24 02:00:00,Room106,26.6,62.7,1.19,95.0,38.4,471.4,0,Not Occupied,1,0.956357,11.47628,0.000191,64800,1774317600,2,Tuesday,88,Healthy,1,Energy Waste
1,2026-03-24 03:00:00,Room101,27.1,65.7,1.52,132.0,45.6,465.6,1,Occupied,1,1.353629,16.24355,0.000271,68400,1774321200,3,Tuesday,73,Moderate,0,Normal
1,2026-03-24 03:00:00,Room102,25.3,69.5,1.29,101.0,40.7,49.8,1,Occupied,0,0.151283,1.8154,3e-05,72000,1774321200,3,Tuesday,58,Moderate,0,Normal
1,2026-03-24 03:00:00,Room103,28.9,62.3,1.46,120.0,53.6,261.7,1,Occupied,1,3.314733,39.7768,0.000663,75600,1774321200,3,Tuesday,50,Moderate,0,Normal
1,2026-03-24 03:00:00,Room104,24.5,73.6,1.39,117.0,39.1,304.8,1,Occupied,1,2.729561,32.75473,0.000546,79200,1774321200,3,Tuesday,60,Moderate,0,Normal
1,2026-03-24 03:00:00,Room105,27.7,63.1,1.96,181.0,43.4,354.1,1,Occupied,1,0.730943,8.77132,0.000146,82800,1774321200,3,Tuesday,58,Moderate,0,Poor Air Quality
1,2026-03-24 03:00:00,Room106,27.7,60.2,1.45,119.0,64.6,39.8,1,Occupied,0,0.702492,8.4299,0.00014,86400,1774321200,3,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 04:00:00,Room101,27.4,69.8,1.23,104.0,34.4,48.8,0,Not Occupied,0,0.202693,2.43232,4.1e-05,90000,1774324800,4,Tuesday,58,Moderate,0,Normal
0,2026-03-24 04:00:00,Room102,25.5,70.4,1.08,73.0,9.2,39.4,0,Not Occupied,0,0.0,0.0,0.0,93600,1774324800,4,Tuesday,60,Moderate,0,Normal
1,2026-03-24 04:00:00,Room103,27.9,64.9,1.41,115.0,46.2,450.2,1,Occupied,1,3.794045,45.52854,0.000759,97200,1774324800,4,Tuesday,58,Moderate,0,Normal
1,2026-03-24 04:00:00,Room104,25.9,75.1,1.44,110.0,61.3,13.3,1,Occupied,0,0.175882,2.11058,3.5e-05,100800,1774324800,4,Tuesday,30,Unhealthy,0,Normal
1,2026-03-24 04:00:00,Room105,26.4,74.4,1.35,105.0,48.8,360.45,1,Occupied,1,3.07424,36.89088,0.000615,104400,1774324800,4,Tuesday,60,Moderate,0,Normal
1,2026-03-24 04:00:00,Room106,28.0,65.2,1.47,119.0,45.7,349.8,1,Occupied,1,1.987681,23.85217,0.000398,108000,1774324800,4,Tuesday,73,Moderate,0,Normal
